Chper,Last,(Last-AvgLast)/AvgLast,RSI,Vol/AvgVol,MACD,Answer
0.288,250,0.054,0.616,1.351,3.763,1
0.32,258,0.083,0.655,1.341,5.138,0
0.155,262,0.092,0.672,1.363,6.475,0
-0.153,258,0.066,0.637,1.168,7.129,0
0.116,261,0.071,0.652,1.041,7.8,0
0.115,264,0.072,0.667,0.85,8.477,0
-0.152,260,0.04,0.629,0.773,8.591,0
0.308,268,0.06,0.669,0.634,9.22,0
0.187,273,0.066,0.692,0.617,10.007,0
-0.037,272,0.047,0.682,0.678,10.431,0
0.184,277,0.055,0.705,0.718,11.042,0
0.325,286,0.078,0.741,0.86,12.113,0
-0.175,281,0.048,0.69,0.944,12.415,0
0,281,0.041,0.69,1.152,12.51,0
-0.214,275,0.01,0.63,1.109,11.963,0
0.218,281,0.027,0.662,1.084,11.878,0
-0.178,276,0.002,0.614,0.975,11.277,0
-0.217,270,-0.025,0.563,0.949,10.198,0
0.037,271,-0.022,0.569,0.822,9.317,0
0.258,278,0.004,0.613,0.894,9.078,0
0.144,282,0.016,0.635,0.895,9.107,0
0.177,287,0.032,0.662,0.882,9.425,0
0.035,288,0.035,0.668,1.015,9.646,0
0.104,291,0.043,0.683,0.914,9.949,0
-0.206,285,0.018,0.62,0.913,9.594,0
-0.07,283,0.007,0.6,0.78,9.047,0
0.035,284,0.01,0.606,0.742,8.595,0
0,284,0.007,0.606,0.602,8.144,0
0.106,287,0.013,0.629,0.822,7.936,0
-0.244,280,-0.017,0.551,0.954,7.125,0
-0.071,278,-0.025,0.53,1.048,6.248,0
0.072,280,-0.017,0.548,1.14,5.65,0
-0.179,275,-0.032,0.497,1.247,4.718,0
0.294,280,-0.01,0.543,1.111,4.332,0
0.143,284,0.009,0.576,0.934,4.301,0
0.07,286,0.016,0.592,0.85,4.386,0
0.07,288,0.022,0.608,0.921,4.563,0
0.347,298,0.056,0.676,1.006,5.446,0
0.168,303,0.068,0.704,1.101,6.476,0
0.33,313,0.097,0.75,1.227,8.006,0
-0.096,310,0.075,0.714,1.305,8.875,0
-0.226,303,0.039,0.637,1.25,8.896,0
-0.033,302,0.027,0.627,1.162,8.731,0
0.033,303,0.021,0.633,1.03,8.583,0
0.033,304,0.017,0.64,0.792,8.448,0
-0.23,297,-0.013,0.563,0.798,7.688,0
0.205,299,-0.01,0.578,0.92,7.164,0
-0.167,294,-0.03,0.528,0.819,6.273,0
-0.068,292,-0.036,0.508,0.802,5.344,0
0.445,305,0.011,0.608,1.045,5.593,0
-0.164,300,-0.003,0.561,1.08,5.325,0
0.233,307,0.024,0.607,0.951,5.612,0
0.163,312,0.039,0.636,0.992,6.173,0
-0.032,311,0.032,0.626,1.059,6.462,0
-0.257,303,0.003,0.551,1.044,5.976,0
-0.132,299,-0.01,0.518,1.006,5.208,0
-0.134,295,-0.024,0.486,1.128,4.228,0
0.169,300,-0.006,0.525,1.053,3.811,0
0.167,305,0.009,0.561,1.039,3.84,0
0.098,310,0.021,0.594,1.03,4.218,0
-0.29,301,-0.011,0.518,1.195,3.748,0
-0.066,299,-0.017,0.503,0.954,3.177,0
0.201,305,0.005,0.546,0.981,3.173,0
0.033,306,0.011,0.554,1.082,3.212,0
0.065,308,0.019,0.568,0.968,3.367,0
0.032,309,0.02,0.575,0.866,3.53,0
0.259,317,0.043,0.63,0.999,4.254,0
0.063,319,0.042,0.642,1.157,4.934,0
-0.063,317,0.03,0.62,0.958,5.249,0
-0.032,316,0.022,0.608,1.019,5.358,0
0.032,317,0.024,0.616,0.967,5.461,0
0.063,319,0.025,0.631,0.969,5.639,0
-0.188,313,-0.001,0.559,0.832,5.237,0
0.128,317,0.009,0.593,0.829,5.18,0
0.032,318,0.009,0.601,0.808,5.157,0
0.031,319,0.009,0.609,0.807,5.159,0
0.031,320,0.009,0.618,0.778,5.183,0
0.125,324,0.02,0.651,0.774,5.461,0
-0.494,308,-0.031,0.473,1.653,4.34,0
0.032,309,-0.026,0.482,1.292,3.492,0
0.097,312,-0.014,0.511,1.312,3.027,0
0,312,-0.012,0.511,1.392,2.629,0
0.032,313,-0.007,0.521,1.344,2.366,0
0.032,314,-0.004,0.532,0.795,2.214,0
-0.064,312,-0.009,0.508,0.687,1.909,0
-0.064,310,-0.014,0.484,0.673,1.49,0
0.129,314,0.002,0.531,0.597,1.463,0
-0.064,312,-0.003,0.506,0.553,1.265,0
-0.096,309,-0.008,0.471,0.636,0.856,0
0.129,313,0.004,0.519,0.968,0.847,0
0.064,315,0.009,0.541,1.032,0.988,0
0.286,324,0.037,0.627,1.197,1.806,0
0.093,327,0.043,0.65,1.465,2.665,1
0.306,337,0.07,0.714,1.437,4.106,0
-0.03,336,0.059,0.7,1.281,5.108,0
0.179,342,0.07,0.733,1.242,6.313,0
-0.088,339,0.05,0.692,1.051,6.946,0
-0.295,329,0.011,0.575,1.051,6.566,0
0.03,330,0.009,0.583,0.841,6.273,0
0.121,334,0.015,0.613,0.871,6.29,0
-0.12,330,-0.004,0.569,0.893,5.914,0
-0.091,327,-0.017,0.538,0.992,5.312,0
-0.245,319,-0.042,0.465,0.974,4.141,0
0.063,321,-0.034,0.484,1.014,3.336,0
0.343,332,0.004,0.573,1.126,3.545,0
0.09,335,0.014,0.594,1.035,3.908,0
0.06,337,0.022,0.607,1.048,4.308,0
0.03,338,0.026,0.614,0.878,4.651,0
-0.03,337,0.02,0.602,0.883,4.788,0
0.03,338,0.021,0.61,0.788,4.919,0
0.178,344,0.038,0.654,0.938,5.445,0
0,344,0.034,0.655,0.842,5.795,0
-0.058,342,0.022,0.627,0.836,5.844,0
0.146,347,0.03,0.665,0.912,6.214,0
0.058,349,0.028,0.679,1.13,6.593,0
0.029,350,0.026,0.686,0.927,6.895,0
-0.143,345,0.007,0.613,0.959,6.654,0
0.058,347,0.01,0.63,0.954,6.549,0
-0.029,346,0.005,0.616,1.095,6.311,0
0.145,351,0.017,0.658,0.884,6.453,0
0.028,352,0.016,0.666,0.841,6.57,0
0.057,354,0.019,0.682,0.947,6.747,0
-0.141,349,0.002,0.604,1.051,6.408,0
-0.115,345,-0.011,0.55,0.992,5.752,0
-0.29,335,-0.04,0.444,1.282,4.374,0
-0.06,333,-0.041,0.427,1.505,3.086,0
0,333,-0.037,0.426,1.34,2.04,0
0,333,-0.033,0.426,1.336,1.199,0
0,333,-0.029,0.426,1.382,0.526,0
-0.24,325,-0.049,0.351,1.309,-0.646,0
-0.431,311,-0.083,0.263,1.187,-2.674,0
0.386,323,-0.036,0.402,1.191,-3.275,0
-0.062,321,-0.033,0.388,1.15,-3.867,0
-0.062,319,-0.031,0.375,1.047,-4.447,0
0.219,326,-0.002,0.446,1.215,-4.293,0
0.092,329,0.01,0.474,0.951,-3.883,0
-0.091,326,0.002,0.45,0.918,-3.758,0
0.215,333,0.026,0.512,0.842,-3.058,0
0.12,337,0.038,0.544,0.869,-2.156,0
-0.119,333,0.025,0.508,0.581,-1.744,0
-0.06,331,0.016,0.491,0.632,-1.56,0
0,331,0.01,0.491,0.645,-1.399,0
-0.06,329,0.001,0.472,0.66,-1.415,0
0.395,342,0.038,0.583,0.97,-0.375,1
-0.088,339,0.022,0.554,0.935,0.204,0
0.236,347,0.042,0.61,1.179,1.294,0
-0.029,346,0.033,0.6,1.231,2.053,0
0.029,347,0.03,0.607,1.256,2.705,0
0,347,0.026,0.607,0.991,3.184,0
-0.058,345,0.017,0.583,0.829,3.364,0
-0.29,335,-0.016,0.482,0.898,2.668,0
0.06,337,-0.011,0.501,0.911,2.253,0
0,337,-0.013,0.501,1.382,1.902,0
0.03,338,-0.012,0.511,1.333,1.685,0
0.444,353,0.033,0.632,1.513,2.692,0
-0.028,352,0.026,0.621,1.451,3.371,0
0.085,355,0.033,0.641,1.453,4.104,0
-0.028,354,0.027,0.629,1.113,4.551,0
0.085,357,0.034,0.651,0.896,5.089,0
-0.14,352,0.016,0.59,0.74,5.054,0
0.057,354,0.02,0.606,0.677,5.128,0
-0.198,347,-0.005,0.529,0.566,4.569,0
0.115,351,0.003,0.563,0.546,4.399,0
-0.057,349,-0.007,0.542,0.59,4.055,0
-0.086,346,-0.018,0.511,0.608,3.501,0
0,346,-0.016,0.511,0.699,3.026,0
-0.116,342,-0.026,0.469,0.732,2.302,0
-0.058,340,-0.028,0.449,0.811,1.547,0
0.267,346,-0.007,0.515,0.802,1.417,0
0.087,349,0.005,0.544,0.906,1.539,0
-0.115,345,-0.006,0.501,1.215,1.297,0
-0.116,341,-0.015,0.461,1.209,0.775,0
-0.176,335,-0.03,0.409,1.184,-0.123,0
-0.239,327,-0.049,0.351,1.337,-1.462,0
0.306,337,-0.014,0.454,1.31,-1.697,0
0,337,-0.011,0.454,1.238,-1.862,0
0.118,344,0.012,0.517,1.136,-1.412,0
-0.087,341,0.003,0.491,1.08,-1.282,0
0.088,344,0.011,0.517,1,-0.927,0
0.174,350,0.029,0.565,0.991,-0.159,0
-0.029,349,0.026,0.555,0.823,0.364,0
-0.029,348,0.022,0.545,0.81,0.69,0
-0.115,344,0.008,0.504,0.806,0.619,0
-0.058,342,0,0.485,0.805,0.397,0
0.205,349,0.016,0.55,0.939,0.776,0
0.43,364,0.056,0.651,1.38,2.261,1
-0.22,356,0.024,0.577,1.454,2.761,0
0.309,367,0.052,0.638,1.406,3.999,0
-0.054,365,0.039,0.62,1.407,4.763,0
-0.082,362,0.024,0.594,1.301,5.068,0
0.193,369,0.041,0.633,1.034,5.808,0
-0.027,368,0.032,0.624,0.91,6.241,0
-0.054,366,0.021,0.605,0.811,6.35,0
-0.109,362,0.003,0.567,0.813,6.045,0
0.028,363,0.001,0.574,0.817,5.816,0
0.055,365,0.002,0.589,0.754,5.73,0
-0.027,364,-0.001,0.578,0.775,5.518,0
-0.027,363,-0.006,0.567,0.754,5.209,0
0,363,-0.005,0.567,0.716,4.907,0
0.055,365,0.001,0.586,0.641,4.774,0
0,365,0.001,0.586,0.591,4.616,0
0,365,0.002,0.586,0.526,4.439,0
0.11,369,0.013,0.626,0.705,4.569,0
0.163,375,0.029,0.676,0.899,5.098,0
-0.08,372,0.017,0.63,0.999,5.214,0
0.215,380,0.037,0.69,1.4,5.885,1
0.184,387,0.051,0.731,1.56,6.901,1
0.052,389,0.05,0.742,1.507,7.778,0
-0.154,383,0.027,0.659,1.332,7.899,0
0.131,388,0.035,0.69,1.297,8.301,0
-0.077,385,0.02,0.651,1.086,8.283,0
-0.052,383,0.01,0.626,0.87,8.014,0
0.078,386,0.013,0.648,0.796,7.952,0
0.078,389,0.016,0.669,0.809,8.052,0
-0.051,387,0.007,0.642,0.784,7.879,0
-0.052,385,-0.002,0.615,0.744,7.494,0
0,385,-0.003,0.615,0.816,7.108,0
0.026,386,0,0.624,0.887,6.803,0
0.078,389,0.009,0.651,0.808,6.726,0
0.488,408,0.056,0.765,1.407,8.105,1
0.049,410,0.056,0.774,1.394,9.253,0
0.244,420,0.075,0.81,1.649,10.844,1
-0.048,418,0.06,0.783,1.432,11.808,0
-0.335,404,0.016,0.624,1.624,11.311,0
0,404,0.012,0.624,1.405,10.794,0
0,404,0.008,0.624,1.206,10.265,0
0.149,410,0.018,0.661,0.992,10.212,0
0.146,416,0.026,0.694,0.992,10.533,0
-0.144,410,0.004,0.629,0.859,10.187,0
-0.049,408,-0.006,0.609,0.705,9.639,0
-0.343,394,-0.04,0.49,0.988,7.983,0
0.051,396,-0.031,0.504,1.116,6.755,0
-0.253,386,-0.05,0.436,1.275,4.917,0
0.285,397,-0.015,0.514,1.304,4.299,0
-0.076,394,-0.021,0.494,1.303,3.527,0
0.051,396,-0.014,0.508,1.188,3.041,0
0.025,397,-0.009,0.515,0.913,2.705,0
0,397,-0.006,0.515,0.776,2.411,0
0.126,402,0.011,0.553,0.634,2.553,0
-0.1,398,0.003,0.518,0.566,2.316,0
0.025,399,0.008,0.526,0.507,2.182,0
0.025,400,0.01,0.534,0.582,2.134,0
-0.075,397,0.001,0.506,0.609,1.832,0
0.05,399,0.003,0.524,0.696,1.733,0
0,399,0.003,0.524,0.84,1.637,0
-0.075,396,-0.006,0.492,0.886,1.303,0
-0.202,388,-0.026,0.419,1.253,0.389,0
0.026,389,-0.021,0.431,1.154,-0.253,0
0.129,394,-0.007,0.485,1.235,-0.353,0
-0.102,390,-0.015,0.448,1.242,-0.746,0
0,390,-0.013,0.448,1.221,-1.047,0
0.103,394,-0.001,0.493,1.015,-0.95,0
0.076,397,0.009,0.524,1.137,-0.626,0
-0.05,395,0.004,0.502,0.967,-0.522,0
0.051,397,0.01,0.523,1.041,-0.277,0
-0.025,396,0.008,0.511,1.056,-0.161,0
0.152,402,0.023,0.574,1.097,0.41,0
0.1,406,0.029,0.61,0.984,1.172,0
0,406,0.025,0.61,0.956,1.756,0
-0.099,402,0.012,0.556,0.866,1.874,0
0.149,408,0.024,0.612,0.796,2.424,0
-0.098,404,0.009,0.561,0.849,2.508,0
0,404,0.007,0.561,0.865,2.546,0
-0.223,395,-0.017,0.461,0.896,1.828,0
0,395,-0.017,0.461,1.1,1.245,0
-0.203,387,-0.037,0.39,1.39,0.135,0
0.129,392,-0.022,0.448,1.141,-0.336,0
0,392,-0.02,0.448,1.18,-0.702,0
